RSS,RLS,cumulative_cases,date_report
14 - Lanaudière,1411 - RLS de Lanaudière-Nord,350,2020-04-11
14 - Lanaudière,1412 - RLS de Lanaudière-Sud,443,2020-04-11
15 - Laurentides,1511 - RLS d'Antoine-Labelle,12,2020-04-11
15 - Laurentides,1512 - RLS des Laurentides,15,2020-04-11
15 - Laurentides,1513 - RLS des Pays-d'en-Haut,26,2020-04-11
15 - Laurentides,1514 - RLS d'Argenteuil,12,2020-04-11
15 - Laurentides,1515 - RLS de Deux-Montagnes - Mirabel-Sud,120,2020-04-11
15 - Laurentides,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,126,2020-04-11
15 - Laurentides,1517 - RLS de Thérèse-De Blainville,251,2020-04-11
16 - Montérégie,1611 - RLS de Champlain,264,2020-04-11
16 - Montérégie,1612 - RLS du Haut-Richelieu - Rouville,158,2020-04-11
16 - Montérégie,1621 - RLS Pierre-Boucher,262,2020-04-11
16 - Montérégie,1622 - RLS de Richelieu-Yamaska,111,2020-04-11
16 - Montérégie,1623 - RLS Pierre-De Saurel,9,2020-04-11
16 - Montérégie,1631 - RLS de Vaudreuil-Soulanges,145,2020-04-11
16 - Montérégie,1632 - RLS du Suroît,62,2020-04-11
16 - Montérégie,1633 - RLS du Haut-Saint-Laurent,6,2020-04-11
16 - Montérégie,1634 - RLS de Jardins-Roussillon,226,2020-04-11
17 - Nunavik,1701 - Nunavik,7,2020-04-11
18 - Terres-Cries-de-la-Baie-James,1801 - Terres-Cries-de-la-Baie-James,5,2020-04-11
01 - Bas-St-Laurent,0111 - RLS de Kamouraska,0,2020-04-13
01 - Bas-St-Laurent,0112 - RLS de Rivière-du-Loup,22,2020-04-13
01 - Bas-St-Laurent,0113 - RLS de Témiscouata,5,2020-04-13
01 - Bas-St-Laurent,0117 - RLS de Matane,0,2020-04-13
01 - Bas-St-Laurent,0118 - RLS de La Matapédia,0,2020-04-13
02 - Saguenay – Lac-St-Jean,0213 - RLS de Lac-Saint-Jean-Est,10,2020-04-13
02 - Saguenay – Lac-St-Jean,0214 - RLS de Jonquière,24,2020-04-13
02 - Saguenay – Lac-St-Jean,0215 - RLS de Chicoutimi,91,2020-04-13
02 - Saguenay – Lac-St-Jean,0216 - RLS de La Baie,26,2020-04-13
03 - Capitale-Nationale,0311 - RLS de Portneuf,9,2020-04-13
03 - Capitale-Nationale,0312 - RLS de Québec-Sud,289,2020-04-13
03 - Capitale-Nationale,0313 - RLS de Québec-Nord,201,2020-04-13
03 - Capitale-Nationale,0314 - RLS de Charlevoix,5,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0411 - RLS du Haut-Saint-Maurice,0,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0412 - RLS de la Vallée de la Batiscan,29,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0413 - RLS de Maskinongé,102,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0414 - RLS du Centre-de-la-Mauricie,237,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0415 - RLS de Trois-Rivières,233,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0416 - RLS de Bécancour - Nicolet-Yamaska,13,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0417 - RLS de Drummond,74,2020-04-13
04 - Mauricie-et-Centre-du-Québec,0418 - RLS d'Arthabaska - de l'Érable,14,2020-04-13
05 - Estrie,0511 - RLS de la Pommeraie,86,2020-04-13
05 - Estrie,0512 - RLS de la Haute-Yamaska,153,2020-04-13
05 - Estrie,0513 - RLS de Memphrémagog,66,2020-04-13
05 - Estrie,0514 - RLS de Coaticook,10,2020-04-13
05 - Estrie,0515 - RLS de Sherbrooke,224,2020-04-13
05 - Estrie,0516 - RLS de Val Saint-François,60,2020-04-13
05 - Estrie,0517 - RLS d'Asbestos,8,2020-04-13
05 - Estrie,0518 - RLS du Haut-Saint-François,11,2020-04-13
05 - Estrie,0519 - RLS du Granit,13,2020-04-13
06 - Montréal,0611 - RLS de Pierrefonds - Lac Saint-Louis,243,2020-04-13
06 - Montréal,0612 - RLS de Dorval - Lachine - Lasalle,433,2020-04-13
06 - Montréal,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,420,2020-04-13
06 - Montréal,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,753,2020-04-13
06 - Montréal,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,394,2020-04-13
06 - Montréal,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,354,2020-04-13
06 - Montréal,0641 - RLS du Nord de l'Île - Saint-Laurent,285,2020-04-13
06 - Montréal,0642 - RLS d'Ahuntsic - Montréal-Nord,566,2020-04-13
06 - Montréal,0643 - RLS de la Petite Patrie - Villeray,215,2020-04-13
06 - Montréal,0651 - RLS de Saint-Léonard - Saint-Michel,342,2020-04-13
06 - Montréal,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,445,2020-04-13
06 - Montréal,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,366,2020-04-13
07 - Outaouais,0713 - RLS des Collines-de-l'Outaouais,9,2020-04-13
07 - Outaouais,0714 - RLS de Grande-Rivière - Hull - Gatineau,121,2020-04-13
07 - Outaouais,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,12,2020-04-13
08 - Abitibi-Témiscamingue,0811 - RLS de l'Abitibi-Ouest,8,2020-04-13
08 - Abitibi-Témiscamingue,0813 - RLS de Rouyn-Noranda,111,2020-04-13
08 - Abitibi-Témiscamingue,0815 - RLS du Témiscaming,12,2020-04-13
09 - Côte-Nord,0911 - RLS de Caniapiscau,0,2020-04-13
09 - Côte-Nord,0912 - RLS de la Haute-Côte-Nord - Manicouagan,15,2020-04-13
09 - Côte-Nord,0913 - RLS de Port-Cartier,24,2020-04-13
09 - Côte-Nord,0914 - RLS de Sept-Îles,40,2020-04-13
09 - Côte-Nord,0915 - RLS de la Minganie,5,2020-04-13
09 - Côte-Nord,0916 - RLS de la Basse-Côte-Nord,0,2020-04-13
09 - Côte-Nord,0917 - RLS de Kawawachikamach,0,2020-04-13
10 - Nord-du-Québec,1001 - Nord-du-Québec,7,2020-04-13
11 - Gaspésie-Îles-de-la-Madeleine,1111 - RLS de la Baie-des-Chaleurs,62,2020-04-13
11 - Gaspésie-Îles-de-la-Madeleine,1114 - RLS du Rocher-Percé,18,2020-04-13
11 - Gaspésie-Îles-de-la-Madeleine,1121 - RLS des Îles-de-la-Madeleine,8,2020-04-13
12 - Chaudière-Appalaches,1211 - RLS Alphonse-Desjardins,211,2020-04-13
12 - Chaudière-Appalaches,1212 - RLS de la région de Thetford,7,2020-04-13
12 - Chaudière-Appalaches,1213 - RLS de Beauce,22,2020-04-13
12 - Chaudière-Appalaches,1214 - RLS des Etchemins,0,2020-04-13
12 - Chaudière-Appalaches,1215 - RLS de Montmagny-L'Islet,8,2020-04-13
13 - Laval,1311 - RLS de Laval,1268,2020-04-13
14 - Lanaudière,1411 - RLS de Lanaudière-Nord,364,2020-04-13
14 - Lanaudière,1412 - RLS de Lanaudière-Sud,480,2020-04-13
15 - Laurentides,1511 - RLS d'Antoine-Labelle,11,2020-04-13
15 - Laurentides,1512 - RLS des Laurentides,15,2020-04-13
15 - Laurentides,1513 - RLS des Pays-d'en-Haut,27,2020-04-13
15 - Laurentides,1514 - RLS d'Argenteuil,15,2020-04-13
15 - Laurentides,1515 - RLS de Deux-Montagnes - Mirabel-Sud,133,2020-04-13
15 - Laurentides,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,152,2020-04-13
15 - Laurentides,1517 - RLS de Thérèse-De Blainville,255,2020-04-13
16 - Montérégie,1611 - RLS de Champlain,309,2020-04-13
16 - Montérégie,1612 - RLS du Haut-Richelieu - Rouville,171,2020-04-13
16 - Montérégie,1621 - RLS Pierre-Boucher,327,2020-04-13
16 - Montérégie,1622 - RLS de Richelieu-Yamaska,120,2020-04-13
16 - Montérégie,1623 - RLS Pierre-De Saurel,9,2020-04-13
16 - Montérégie,1631 - RLS de Vaudreuil-Soulanges,159,2020-04-13
16 - Montérégie,1632 - RLS du Suroît,67,2020-04-13
16 - Montérégie,1633 - RLS du Haut-Saint-Laurent,6,2020-04-13
16 - Montérégie,1634 - RLS de Jardins-Roussillon,235,2020-04-13
17 - Nunavik,1701 - Nunavik,10,2020-04-13
18 - Terres-Cries-de-la-Baie-James,1801 - Terres-Cries-de-la-Baie-James,5,2020-04-13
01 - Bas-St-Laurent,0112 - RLS de Rivière-du-Loup,23,2020-04-18
01 - Bas-St-Laurent,0113 - RLS de Témiscouata,5,2020-04-18
01 - Bas-St-Laurent,0115 - RLS de Rimouski,5,2020-04-18
01 - Bas-St-Laurent,0116 - RLS de La Mitis,0,2020-04-18
01 - Bas-St-Laurent,0117 - RLS de Matane,0,2020-04-18
01 - Bas-St-Laurent,0118 - RLS de La Matapédia,0,2020-04-18
02 - Saguenay – Lac-St-Jean,0213 - RLS de Lac-Saint-Jean-Est,11,2020-04-18
02 - Saguenay – Lac-St-Jean,0214 - RLS de Jonquière,39,2020-04-18
02 - Saguenay – Lac-St-Jean,0215 - RLS de Chicoutimi,132,2020-04-18
02 - Saguenay – Lac-St-Jean,0216 - RLS de La Baie,27,2020-04-18
03 - Capitale-Nationale,0311 - RLS de Portneuf,11,2020-04-18
03 - Capitale-Nationale,0312 - RLS de Québec-Sud,343,2020-04-18
03 - Capitale-Nationale,0313 - RLS de Québec-Nord,234,2020-04-18
03 - Capitale-Nationale,0314 - RLS de Charlevoix,7,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0411 - RLS du Haut-Saint-Maurice,0,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0412 - RLS de la Vallée de la Batiscan,50,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0413 - RLS de Maskinongé,125,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0414 - RLS du Centre-de-la-Mauricie,277,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0415 - RLS de Trois-Rivières,301,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0416 - RLS de Bécancour - Nicolet-Yamaska,18,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0417 - RLS de Drummond,112,2020-04-18
04 - Mauricie-et-Centre-du-Québec,0418 - RLS d'Arthabaska - de l'Érable,22,2020-04-18
05 - Estrie,0511 - RLS de la Pommeraie,96,2020-04-18
05 - Estrie,0512 - RLS de la Haute-Yamaska,182,2020-04-18
05 - Estrie,0513 - RLS de Memphrémagog,76,2020-04-18
05 - Estrie,0514 - RLS de Coaticook,11,2020-04-18
05 - Estrie,0515 - RLS de Sherbrooke,249,2020-04-18
05 - Estrie,0516 - RLS de Val Saint-François,101,2020-04-18
05 - Estrie,0517 - RLS d'Asbestos,9,2020-04-18
05 - Estrie,0518 - RLS du Haut-Saint-François,27,2020-04-18
05 - Estrie,0519 - RLS du Granit,16,2020-04-18
06 - Montréal,0611 - RLS de Pierrefonds - Lac Saint-Louis,301,2020-04-18
06 - Montréal,0612 - RLS de Dorval - Lachine - Lasalle,511,2020-04-18
06 - Montréal,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,495,2020-04-18
06 - Montréal,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,1012,2020-04-18
06 - Montréal,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,610,2020-04-18
06 - Montréal,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,480,2020-04-18
06 - Montréal,0641 - RLS du Nord de l'Île - Saint-Laurent,399,2020-04-18
06 - Montréal,0642 - RLS d'Ahuntsic - Montréal-Nord,933,2020-04-18
06 - Montréal,0643 - RLS de la Petite Patrie - Villeray,255,2020-04-18
06 - Montréal,0651 - RLS de Saint-Léonard - Saint-Michel,524,2020-04-18
06 - Montréal,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,690,2020-04-18
06 - Montréal,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,539,2020-04-18
07 - Outaouais,0713 - RLS des Collines-de-l'Outaouais,11,2020-04-18
07 - Outaouais,0714 - RLS de Grande-Rivière - Hull - Gatineau,162,2020-04-18
07 - Outaouais,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,27,2020-04-18
08 - Abitibi-Témiscamingue,0811 - RLS de l'Abitibi-Ouest,8,2020-04-18
08 - Abitibi-Témiscamingue,0813 - RLS de Rouyn-Noranda,116,2020-04-18
08 - Abitibi-Témiscamingue,0815 - RLS du Témiscaming,13,2020-04-18
09 - Côte-Nord,0911 - RLS de Caniapiscau,0,2020-04-18
09 - Côte-Nord,0912 - RLS de la Haute-Côte-Nord - Manicouagan,15,2020-04-18
09 - Côte-Nord,0913 - RLS de Port-Cartier,33,2020-04-18
09 - Côte-Nord,0914 - RLS de Sept-Îles,43,2020-04-18
09 - Côte-Nord,0915 - RLS de la Minganie,5,2020-04-18
09 - Côte-Nord,0916 - RLS de la Basse-Côte-Nord,0,2020-04-18
09 - Côte-Nord,0917 - RLS de Kawawachikamach,0,2020-04-18
10 - Nord-du-Québec,1001 - Nord-du-Québec,7,2020-04-18
11 - Gaspésie-Îles-de-la-Madeleine,1111 - RLS de la Baie-des-Chaleurs,80,2020-04-18
11 - Gaspésie-Îles-de-la-Madeleine,1114 - RLS du Rocher-Percé,22,2020-04-18
11 - Gaspésie-Îles-de-la-Madeleine,1121 - RLS des Îles-de-la-Madeleine,9,2020-04-18
12 - Chaudière-Appalaches,1211 - RLS Alphonse-Desjardins,251,2020-04-18
12 - Chaudière-Appalaches,1212 - RLS de la région de Thetford,10,2020-04-18
12 - Chaudière-Appalaches,1213 - RLS de Beauce,33,2020-04-18
12 - Chaudière-Appalaches,1215 - RLS de Montmagny-L'Islet,10,2020-04-18
13 - Laval,1311 - RLS de Laval,1897,2020-04-18
14 - Lanaudière,1411 - RLS de Lanaudière-Nord,531,2020-04-18
14 - Lanaudière,1412 - RLS de Lanaudière-Sud,746,2020-04-18
15 - Laurentides,1511 - RLS d'Antoine-Labelle,11,2020-04-18
15 - Laurentides,1512 - RLS des Laurentides,18,2020-04-18
15 - Laurentides,1513 - RLS des Pays-d'en-Haut,27,2020-04-18
15 - Laurentides,1514 - RLS d'Argenteuil,16,2020-04-18
15 - Laurentides,1515 - RLS de Deux-Montagnes - Mirabel-Sud,183,2020-04-18
15 - Laurentides,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,223,2020-04-18
15 - Laurentides,1517 - RLS de Thérèse-De Blainville,316,2020-04-18
16 - Montérégie,1611 - RLS de Champlain,496,2020-04-18
16 - Montérégie,1612 - RLS du Haut-Richelieu - Rouville,203,2020-04-18
16 - Montérégie,1621 - RLS Pierre-Boucher,498,2020-04-18
16 - Montérégie,1622 - RLS de Richelieu-Yamaska,171,2020-04-18
16 - Montérégie,1623 - RLS Pierre-De Saurel,12,2020-04-18
16 - Montérégie,1631 - RLS de Vaudreuil-Soulanges,202,2020-04-18
16 - Montérégie,1632 - RLS du Suroît,97,2020-04-18
16 - Montérégie,1633 - RLS du Haut-Saint-Laurent,10,2020-04-18
16 - Montérégie,1634 - RLS de Jardins-Roussillon,316,2020-04-18
17 - Nunavik,1701 - Nunavik,13,2020-04-18
18 - Terres-Cries-de-la-Baie-James,1801 - Terres-Cries-de-la-Baie-James,5,2020-04-18
01 - Bas-St-Laurent,0112 - RLS de Rivière-du-Loup,23,2020-04-19
01 - Bas-St-Laurent,0113 - RLS de Témiscouata,5,2020-04-19
01 - Bas-St-Laurent,0115 - RLS de Rimouski,5,2020-04-19
01 - Bas-St-Laurent,0116 - RLS de La Mitis,0,2020-04-19
01 - Bas-St-Laurent,0117 - RLS de Matane,0,2020-04-19
01 - Bas-St-Laurent,0118 - RLS de La Matapédia,0,2020-04-19
02 - Saguenay – Lac-St-Jean,0213 - RLS de Lac-Saint-Jean-Est,11,2020-04-19
02 - Saguenay – Lac-St-Jean,0214 - RLS de Jonquière,44,2020-04-19
02 - Saguenay – Lac-St-Jean,0215 - RLS de Chicoutimi,139,2020-04-19
02 - Saguenay – Lac-St-Jean,0216 - RLS de La Baie,27,2020-04-19
03 - Capitale-Nationale,0311 - RLS de Portneuf,11,2020-04-19
03 - Capitale-Nationale,0312 - RLS de Québec-Sud,350,2020-04-19
03 - Capitale-Nationale,0313 - RLS de Québec-Nord,238,2020-04-19
03 - Capitale-Nationale,0314 - RLS de Charlevoix,7,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0411 - RLS du Haut-Saint-Maurice,0,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0412 - RLS de la Vallée de la Batiscan,53,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0413 - RLS de Maskinongé,125,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0414 - RLS du Centre-de-la-Mauricie,280,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0415 - RLS de Trois-Rivières,315,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0416 - RLS de Bécancour - Nicolet-Yamaska,18,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0417 - RLS de Drummond,118,2020-04-19
04 - Mauricie-et-Centre-du-Québec,0418 - RLS d'Arthabaska - de l'Érable,23,2020-04-19
05 - Estrie,0511 - RLS de la Pommeraie,97,2020-04-19
05 - Estrie,0512 - RLS de la Haute-Yamaska,182,2020-04-19
05 - Estrie,0513 - RLS de Memphrémagog,76,2020-04-19
05 - Estrie,0514 - RLS de Coaticook,11,2020-04-19
05 - Estrie,0515 - RLS de Sherbrooke,251,2020-04-19
05 - Estrie,0516 - RLS de Val Saint-François,101,2020-04-19
05 - Estrie,0517 - RLS d'Asbestos,9,2020-04-19
05 - Estrie,0518 - RLS du Haut-Saint-François,27,2020-04-19
05 - Estrie,0519 - RLS du Granit,16,2020-04-19
06 - Montréal,0611 - RLS de Pierrefonds - Lac Saint-Louis,311,2020-04-19
06 - Montréal,0612 - RLS de Dorval - Lachine - Lasalle,525,2020-04-19
06 - Montréal,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,514,2020-04-19
06 - Montréal,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,1058,2020-04-19
06 - Montréal,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,644,2020-04-19
06 - Montréal,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,492,2020-04-19
06 - Montréal,0641 - RLS du Nord de l'Île - Saint-Laurent,433,2020-04-19
06 - Montréal,0642 - RLS d'Ahuntsic - Montréal-Nord,1029,2020-04-19
06 - Montréal,0643 - RLS de la Petite Patrie - Villeray,268,2020-04-19
06 - Montréal,0651 - RLS de Saint-Léonard - Saint-Michel,570,2020-04-19
06 - Montréal,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,742,2020-04-19
06 - Montréal,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,567,2020-04-19
07 - Outaouais,0713 - RLS des Collines-de-l'Outaouais,11,2020-04-19
07 - Outaouais,0714 - RLS de Grande-Rivière - Hull - Gatineau,168,2020-04-19
07 - Outaouais,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,28,2020-04-19
08 - Abitibi-Témiscamingue,0811 - RLS de l'Abitibi-Ouest,8,2020-04-19
08 - Abitibi-Témiscamingue,0813 - RLS de Rouyn-Noranda,118,2020-04-19
08 - Abitibi-Témiscamingue,0815 - RLS du Témiscaming,13,2020-04-19
09 - Côte-Nord,0911 - RLS de Caniapiscau,0,2020-04-19
09 - Côte-Nord,0912 - RLS de la Haute-Côte-Nord - Manicouagan,15,2020-04-19
09 - Côte-Nord,0913 - RLS de Port-Cartier,34,2020-04-19
09 - Côte-Nord,0914 - RLS de Sept-Îles,43,2020-04-19
09 - Côte-Nord,0915 - RLS de la Minganie,5,2020-04-19
09 - Côte-Nord,0916 - RLS de la Basse-Côte-Nord,0,2020-04-19
09 - Côte-Nord,0917 - RLS de Kawawachikamach,0,2020-04-19
10 - Nord-du-Québec,1001 - Nord-du-Québec,7,2020-04-19
11 - Gaspésie-Îles-de-la-Madeleine,1111 - RLS de la Baie-des-Chaleurs,84,2020-04-19
11 - Gaspésie-Îles-de-la-Madeleine,1114 - RLS du Rocher-Percé,22,2020-04-19
11 - Gaspésie-Îles-de-la-Madeleine,1121 - RLS des Îles-de-la-Madeleine,9,2020-04-19
12 - Chaudière-Appalaches,1211 - RLS Alphonse-Desjardins,264,2020-04-19
12 - Chaudière-Appalaches,1212 - RLS de la région de Thetford,14,2020-04-19
12 - Chaudière-Appalaches,1213 - RLS de Beauce,34,2020-04-19
12 - Chaudière-Appalaches,1215 - RLS de Montmagny-L'Islet,10,2020-04-19
13 - Laval,1311 - RLS de Laval,2029,2020-04-19
14 - Lanaudière,1411 - RLS de Lanaudière-Nord,559,2020-04-19
14 - Lanaudière,1412 - RLS de Lanaudière-Sud,804,2020-04-19
15 - Laurentides,1511 - RLS d'Antoine-Labelle,11,2020-04-19
15 - Laurentides,1512 - RLS des Laurentides,20,2020-04-19
15 - Laurentides,1513 - RLS des Pays-d'en-Haut,27,2020-04-19
15 - Laurentides,1514 - RLS d'Argenteuil,17,2020-04-19
15 - Laurentides,1515 - RLS de Deux-Montagnes - Mirabel-Sud,187,2020-04-19
15 - Laurentides,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,238,2020-04-19
15 - Laurentides,1517 - RLS de Thérèse-De Blainville,324,2020-04-19
16 - Montérégie,1611 - RLS de Champlain,525,2020-04-19
16 - Montérégie,1612 - RLS du Haut-Richelieu - Rouville,213,2020-04-19
16 - Montérégie,1621 - RLS Pierre-Boucher,521,2020-04-19
16 - Montérégie,1622 - RLS de Richelieu-Yamaska,176,2020-04-19
16 - Montérégie,1623 - RLS Pierre-De Saurel,12,2020-04-19
16 - Montérégie,1631 - RLS de Vaudreuil-Soulanges,215,2020-04-19
16 - Montérégie,1632 - RLS du Suroît,100,2020-04-19
16 - Montérégie,1633 - RLS du Haut-Saint-Laurent,13,2020-04-19
16 - Montérégie,1634 - RLS de Jardins-Roussillon,332,2020-04-19
17 - Nunavik,1701 - Nunavik,13,2020-04-19
18 - Terres-Cries-de-la-Baie-James,1801 - Terres-Cries-de-la-Baie-James,5,2020-04-19
